ticket_id,Data,Motivo,Responsável,Status,Hora Início,Hora Fim,Tempo de Conclusão (TMA),SLA_fila,Assertividade
#930269,1/1/2026,KYC/Reembolso,Lucas,Em espera,06:02,06:06,00:00,,
,,,,,,,,,
#937163,1/2/2026,Bloqueio/Fraude/Kyc,Lucas,Aberto,21:23,22:17,00:00,,
#937180,1/2/2026,Bloqueio/Fraude/Kyc,Lucas,Aberto,22:19,22:22,00:00,,
#937412,1/2/2026,Bloqueio/Fraude/Kyc,Lucas,Aberto,22:46,22:48,00:00,,
#937331,1/2/2026,"Financeiro (Depósito, saque e Devolução)",Lucas,Aberto,22:51,22:54,00:00,,
,,,,,,,,,
#937674,1/3/2026,Giros,Bárbara,Em espera,01:42,01:43,00:00,,
#937685,1/3/2026,Giros,Bárbara,Em espera,01:52,01:53,00:00,,
#937770,1/3/2026,Giros,Bárbara,Em espera,02:00,02:01,00:00,,
#937787,1/3/2026,Indique e ganhe,Bárbara,Aberto,02:14,02:23,00:00,,
#938252,1/3/2026,Bloqueio/Fraude/Kyc,Bárbara,Aberto,02:32,02:41,00:00,,
#937958,1/3/2026,Bloqueio/Fraude,Bárbara,Aberto,02:50,02:52,00:00,,
#937696,1/3/2026,KYC/Reembolso,Bárbara,Aberto,02:48,02:54,00:00,,
#938342,1/3/2026,"Financeiro (Depósito, saque e Devolução)",Bárbara,Aberto,03:07,03:10,00:00,,
#938403,1/3/2026,Cassino,Bárbara,Aberto,04:42,04:47,00:00,,
#938548,1/3/2026,Giros,Bárbara,Em espera,05:25,05:26,00:00,,
#938556,1/3/2026,Bloqueio/Fraude/Kyc,Bárbara,Aberto,05:28,05:32,00:00,,
#938552,1/3/2026,Giros,Bárbara,Em espera,05:37,05:38,00:00,,
#929178,1/3/2026,Giros,Bárbara,Aberto,05:40,05:42,00:00,,
#938614,1/3/2026,Giros,Bárbara,Aberto,06:17,06:19,00:00,,
#938613,1/3/2026,Campanhas/CRM,Bárbara,Aberto,06:20,06:36,00:00,,
#938654,1/3/2026,Giros,Bárbara,Em espera,,,,,
,,,,,,,,,
#943603,1/4/2026,Aposta esportiva,Bárbara,Aberto,20:07,20:10,00:00,,
#943767,1/4/2026,Troca de E-mail,Bárbara,Aberto,20:12,20:17,00:00,,
#944004,1/4/2026,"Financeiro (Depósito, saque e Devolução)",Bárbara,Aberto,21:36,21:50,,,
#944017,1/4/2026,"Financeiro (Depósito, saque e Devolução)",Bárbara,Aberto,22:38,22:40,00:00,,
,,,,,,,,,
#944295,1/5/2026,Troca de E-mail,Bárbara,Aberto,00:19,00:27,00:00,,
#944256,1/5/2026,"Financeiro (Depósito, saque e Devolução)",Bárbara,Aberto,00:54,01:00,00:00,,
,,,,,,,,,
#944120,1/5/2026,Giros,Lucas,Aberto,01:10,,,,
#944171,1/5/2026,Cashback,Lucas,Aberto,01:24,01:30,00:00,,
#944336,1/5/2026,Cashback,Lucas,Aberto,02:02,02:04,00:00,,
#944387,1/5/2026,KYC/Reembolso,Lucas,Aberto,02:06,02:11,00:00,,
#944471,1/5/2026,KYC/Reembolso,Lucas,Aberto,02:12,02:16,00:00,,
#944669,1/5/2026,KYC/Reembolso,Lucas,Aberto,02:48,03:03,,,
#944268,1/5/2026,Missão,Lucas,Aberto,03:08,,,,
#944603,1/5/2026,Missão,Lucas,Aberto,04:07,04:09,00:00,,
#944746,1/5/2026,Campanhas/CRM,Lucas,Aberto,05:07,05:15,,,
#944761,1/5/2026,Campanhas/CRM,Lucas,Aberto,06:05,06:07,00:00,,
#944762,1/5/2026,Campanhas/CRM,Lucas,Aberto,06:10,,,,
#944770,1/5/2026,KYC/Reembolso,Lucas,Aberto,06:12,,,,
,,,,,,,,,
#950070,1/6/2026,KYC/Reembolso,Lucas,Aberto,19:41,19:48,00:00,,
#950085,1/6/2026,Indique e ganhe,Lucas,Aberto,19:54,19:56,00:00,,
#950173,1/6/2026,Giros,Lucas,Aberto,20:47,20:53,,,
#950289,1/6/2026,Bloqueio/Fraude,Lucas,Aberto,21:25,21:26,00:00,,
#950526,1/6/2026,KYC/Reembolso,Lucas,Aberto,21:01,21:31,00:00,,
#950387,1/6/2026,KYC/Reembolso,Lucas,Aberto,21:32,21:54,00:00,,
#950533,1/6/2026,KYC/Reembolso,Lucas,Aberto,21:40,21:45,00:00,,
#950747,1/6/2026,KYC/Reembolso,Lucas,Aberto,22:01,22:09,00:00,,
#950707,1/6/2026,KYC/Reembolso,Lucas,Aberto,22:11,22:21,00:00,,
#950653,1/6/2026,KYC/Reembolso,Lucas,Aberto,22:28,22:35,00:00,,
#949995,1/6/2026,Giros,Lucas,Aberto,22:38,22:52,00:00,,
,,,,,,,,,
#951101,1/7/2026,Giros,Bárbara,Aberto,02:03,02:32,00:00,,
#951203,1/7/2026,KYC/Reembolso,Bárbara,Aberto,02:35,02:39,00:00,,
#951122,1/7/2026,KYC/Reembolso,Bárbara,Aberto,02:42,02:46,00:00,,
#951267,1/7/2026,Giros,Bárbara,Aberto,02:53,03:01,00:00,,
#951275,1/7/2026,Giros,Bárbara,Aberto,03:02,03:04,00:00,,
#952012,1/7/2026,KYC/Reembolso,Bárbara,Aberto,03:06,03:10,00:00,,
#951677,1/7/2026,KYC/Reembolso,Lucas,Aberto,03:07,03:08,00:00,,
#950447,1/7/2026,Cassino,Lucas,Aberto,03:14,03:17,00:00,,
#951968,1/7/2026,KYC/Reembolso,Bárbara,Em espera,03:15,03:16,00:00,,
#952194,1/7/2026,Giros,Lucas,Aberto,04:34,04:36,00:00,,
#952160,1/7/2026,Giros,Bárbara,Aberto,05:52,06:02,,,
#952242,1/7/2026,Aposta esportiva,Bárbara,Aberto,06:52,06:54,00:00,,
#952292,1/7/2026,Giros,Bárbara,Aberto,06:23,06:26,00:00,,
,,,,,,,,,
#961993,1/8/2026,KYC/Reembolso,Bárbara,Aberto,19:38,19:44,00:00,,
,,,,,,,,,
#963654,1/9/2026,"Financeiro (Depósito, saque e Devolução)",Lucas,Aberto,02:26,03:11,00:00,,
#963626,1/9/2026,Bloqueio/Fraude,Bárbara,Em espera,02:45,02:46,00:00,,
#963500,1/9/2026,Bloqueio/Fraude,Bárbara,Em espera,02:46,02:47,00:00,,
#962630,1/9/2026,KYC/Reembolso,Bárbara,Aberto,02:25,02:49,00:00,,
#962678,1/9/2026,KYC/Reembolso,Bárbara,Aberto,03:09,03:11,00:00,,
#962578,1/9/2026,KYC/Reembolso,Lucas,Aberto,03:07,03:22,00:00,,
#962483,1/9/2026,KYC/Reembolso,Lucas,Aberto,03:12,03:15,00:00,,
#964251,1/9/2026,Indique e ganhe,Lucas,Aberto,03:24,03:51,00:00,,
#962392,1/9/2026,KYC/Reembolso,Lucas,Aberto,03:36,03:45,00:00,,
#965175,1/9/2026,PVE,Lucas,Aberto,04:13,05:50,00:00,,
#961845,1/9/2026,Cashback,Lucas,Em espera,03:57,04:07,00:00,,
#961814,1/9/2026,Cashback,Lucas,Em espera,04:22,04:26,00:00,,
#961327,1/9/2026,Erro Plataforma,Lucas,Aberto,04:29,04:39,00:00,,
#961269,1/9/2026,Cashback,Lucas,Em espera,04:42,04:44,00:00,,
#961248,1/9/2026,Cashback,Lucas,Aberto,04:45,05:26,00:00,,
#961150,1/9/2026,Troca de E-mail,Lucas,Aberto,05:27,05:38,00:00,,
#965188,1/9/2026,Bloqueio/Fraude,Bárbara,Aberto,05:44,05:50,00:00,,
