"ticket_id","Data_iso","inicio_dt","fim_dt","tempo_min","Data","Motivo","Responsável","Status","Hora Início","Hora Fim","Tempo de Conclusão (TMA)","SLA_fila","Assertividade"
"#930269","2026-01-01","2026-01-01 06:02:00","2026-01-01 06:06:00","4","1/1/2026","KYC/Reembolso","Lucas","Em espera","06:02","06:06","4","",""
"#937163","2026-01-02","2026-01-02 21:23:00","2026-01-02 22:17:00","54","1/2/2026","Bloqueio/Fraude/Kyc","Lucas","Aberto","21:23","22:17","54","",""
"#937180","2026-01-02","2026-01-02 22:19:00","2026-01-02 22:22:00","3","1/2/2026","Bloqueio/Fraude/Kyc","Lucas","Aberto","22:19","22:22","3","",""
"#937412","2026-01-02","2026-01-02 22:46:00","2026-01-02 22:48:00","2","1/2/2026","Bloqueio/Fraude/Kyc","Lucas","Aberto","22:46","22:48","2","",""
"#937331","2026-01-02","2026-01-02 22:51:00","2026-01-02 22:54:00","3","1/2/2026","Financeiro (Depósito, saque e Devolução)","Lucas","Aberto","22:51","22:54","3","",""
"#937674","2026-01-03","2026-01-03 01:42:00","2026-01-03 01:43:00","1","1/3/2026","Giros","Bárbara","Em espera","01:42","01:43","1","",""
"#937685","2026-01-03","2026-01-03 01:52:00","2026-01-03 01:53:00","1","1/3/2026","Giros","Bárbara","Em espera","01:52","01:53","1","",""
"#937770","2026-01-03","2026-01-03 02:00:00","2026-01-03 02:01:00","1","1/3/2026","Giros","Bárbara","Em espera","02:00","02:01","1","",""
"#937787","2026-01-03","2026-01-03 02:14:00","2026-01-03 02:23:00","9","1/3/2026","Indique e ganhe","Bárbara","Aberto","02:14","02:23","9","",""
"#938252","2026-01-03","2026-01-03 02:32:00","2026-01-03 02:41:00","9","1/3/2026","Bloqueio/Fraude/Kyc","Bárbara","Aberto","02:32","02:41","9","",""
"#937958","2026-01-03","2026-01-03 02:50:00","2026-01-03 02:52:00","2","1/3/2026","Bloqueio/Fraude","Bárbara","Aberto","02:50","02:52","2","",""
"#937696","2026-01-03","2026-01-03 02:48:00","2026-01-03 02:54:00","6","1/3/2026","KYC/Reembolso","Bárbara","Aberto","02:48","02:54","6","",""
"#938342","2026-01-03","2026-01-03 03:07:00","2026-01-03 03:10:00","3","1/3/2026","Financeiro (Depósito, saque e Devolução)","Bárbara","Aberto","03:07","03:10","3","",""
"#938403","2026-01-03","2026-01-03 04:42:00","2026-01-03 04:47:00","5","1/3/2026","Cassino","Bárbara","Aberto","04:42","04:47","5","",""
"#938548","2026-01-03","2026-01-03 05:25:00","2026-01-03 05:26:00","1","1/3/2026","Giros","Bárbara","Em espera","05:25","05:26","1","",""
"#938556","2026-01-03","2026-01-03 05:28:00","2026-01-03 05:32:00","4","1/3/2026","Bloqueio/Fraude/Kyc","Bárbara","Aberto","05:28","05:32","4","",""
"#938552","2026-01-03","2026-01-03 05:37:00","2026-01-03 05:38:00","1","1/3/2026","Giros","Bárbara","Em espera","05:37","05:38","1","",""
"#929178","2026-01-03","2026-01-03 05:40:00","2026-01-03 05:42:00","2","1/3/2026","Giros","Bárbara","Aberto","05:40","05:42","2","",""
"#938614","2026-01-03","2026-01-03 06:17:00","2026-01-03 06:19:00","2","1/3/2026","Giros","Bárbara","Aberto","06:17","06:19","2","",""
"#938613","2026-01-03","2026-01-03 06:20:00","2026-01-03 06:36:00","16","1/3/2026","Campanhas/CRM","Bárbara","Aberto","06:20","06:36","16","",""
"#938654","2026-01-03","","","","1/3/2026","Giros","Bárbara","Em espera","","","","",""
"#943603","2026-01-04","2026-01-04 20:07:00","2026-01-04 20:10:00","3","1/4/2026","Aposta esportiva","Bárbara","Aberto","20:07","20:10","3","",""
"#943767","2026-01-04","2026-01-04 20:12:00","2026-01-04 20:17:00","5","1/4/2026","Troca de E-mail","Bárbara","Aberto","20:12","20:17","5","",""
"#944004","2026-01-04","2026-01-04 21:36:00","2026-01-04 21:50:00","","1/4/2026","Financeiro (Depósito, saque e Devolução)","Bárbara","Aberto","21:36","21:50","","",""
