ticket_id,data,motivo,responsavel,status,hora_inicio,hora_fim,tempo_de_conclusao_tma,created_at,resolved_at,sla,dias_sla,sla_tempofila,op_abertas,aberto,kyc_reembolso
#1062259,2026-01-02,Aposta esportiva,Lucas,Aberto,20:56,21:09,13.0,2026-02-28 20:45:00,2026-02-28 21:10:00,25.0,,11.0,,Pendente,Campanhas/CRM
#1062473,2026-01-02,Erro KYC,Lucas,Aberto,21:20,21:22,2.0,2026-02-28 20:46:00,2026-02-28 21:22:00,36.0,,34.0,,Resolvido,Missão
#1062597,2026-01-02,"Financeiro (Depósito, saque e Devolução)",Bárbara,Aberto,22:09,22:15,6.0,2026-02-28 21:55:00,2026-02-28 22:15:00,20.0,,14.0,,Em espera,Erro Plataforma
#1062500,2026-01-02,Aposta esportiva,Bárbara,Aberto,22:16,22:18,2.0,2026-02-28 21:34:00,2026-02-28 22:18:00,44.0,,42.0,,,Giros
#1062564,2026-01-02,Erro KYC,Bárbara,Aberto,22:19,22:22,3.0,2026-02-28 22:19:00,2026-02-28 22:22:00,3.0,,0.0,,,MED
#1062447,2026-01-02,Indique e ganhe,Lucas,Aberto,23:11,23:14,3.0,2026-02-28 22:49:00,2026-02-28 23:13:00,24.0,,22.0,,,Indique e ganhe
,,,,,,,,,,,,0.0,,,PVE
#1062693,2026-02-02,Aposta esportiva,Bárbara,Aberto,00:13,00:28,15.0,2026-02-28 23:14:00,2026-02-28 00:28:00,104.0,,101.0,,,Erro KYC
#1062688,2026-02-02,Aposta esportiva,Bárbara,Aberto,01:04,01:05,1.0,2026-02-28 01:04:00,2026-02-28 01:05:00,1.0,,0.0,,,Auto Exclusão
#1062745,2026-02-02,Aposta esportiva,Lucas,Aberto,01:26,01:28,2.0,2026-02-28 00:09:00,2026-02-28 01:28:00,119.0,,117.0,,,Cashback
#1062758,2026-02-02,Aposta esportiva,Lucas,Aberto,01:44,01:46,2.0,2026-02-28 00:27:00,2026-02-28 01:46:00,119.0,,117.0,,,Cassino
#1062972,2026-02-02,Missão,Lucas,Aberto,02:27,02:32,5.0,2026-02-28 02:24:00,2026-02-28 02:32:00,8.0,,3.0,,,"Financeiro (Depósito, saque e Devolução)"
#1063000,2026-02-02,KYC/Reembolso,Lucas,Aberto,02:50,03:20,30.0,2026-02-28 02:37:00,2026-02-28 03:28:00,51.0,,13.0,,,Reembolso
#1062697,2026-02-02,Aposta esportiva,Lucas,Aberto,03:05,05:51,0.0,2026-02-28 23:45:00,2026-02-28 10:57:00,1013.0,112025.0,1113.0,,,Bloqueio/Ludopatia
#1062924,2026-02-02,Cashback,Lucas,Aberto,03:15,03:18,3.0,2026-02-28 02:25:00,2026-02-28 03:18:00,53.0,,50.0,,,Bloqueio/Fraude
#1063039,2026-02-02,KYC/Reembolso,Lucas,Aberto,03:29,03:31,2.0,2026-02-28 03:17:00,2026-02-28 03:31:00,14.0,,12.0,,,Aposta esportiva
#1063042,2026-02-02,Missão,Lucas,Aberto,03:36,03:37,1.0,2026-02-28 03:28:00,2026-02-28 03:37:00,9.0,,8.0,,,Bloqueio/Fraude/Kyc
#1063044,2026-02-02,Troca de E-mail,Lucas,Aberto,03:51,03:53,2.0,2026-02-28 03:26:00,2026-02-28 03:53:00,27.0,,25.0,,,Troca de E-mail
#1063061,2026-02-02,KYC/Reembolso,Lucas,Aberto,04:13,04:14,1.0,2026-02-28 04:05:00,2026-02-28 04:14:00,9.0,,8.0,,,Outros
#1063080,2026-02-02,Troca de E-mail,Lucas,Aberto,04:52,05:03,11.0,2026-02-28 04:51:00,2026-02-28 05:03:00,12.0,,1.0,,,
#1062928,2026-02-02,Giros,Lucas,Aberto,05:11,05:12,1.0,2026-02-28 04:24:00,2026-02-28 05:12:00,48.0,,47.0,,,
#1063084,2026-02-02,Giros,Lucas,Aberto,05:15,05:17,2.0,2026-02-28 04:57:00,2026-02-28 05:17:00,20.0,,18.0,,,
#1063077,2026-02-02,Erro KYC,Lucas,Aberto,05:23,05:25,2.0,2026-02-28 05:14:00,2026-02-28 05:25:00,11.0,,9.0,,,
#1063066,2026-02-02,"Financeiro (Depósito, saque e Devolução)",Lucas,Aberto,05:27,06:15,48.0,2026-02-28 04:40:00,2026-02-28 06:15:00,135.0,,47.0,,,
#1063122,2026-02-02,KYC/Reembolso,Lucas,Aberto,06:49,06:52,3.0,2026-02-28 06:45:00,2026-02-28 06:52:00,7.0,,4.0,,,
#1063117,2026-02-02,Campanhas/CRM,Lucas,Aberto,06:58,07:00,2.0,2026-02-28 06:52:00,2026-02-28 07:00:00,8.0,,6.0,,,
,,,,,,,,,,0.0,,0.0,,,
#1067807,2026-03-02,Erro KYC,Lucas,Aberto,19:51,19:54,3.0,2026-02-28 19:35:00,2026-02-28 20:36:00,101.0,,16.0,,,
#1067650,2026-03-02,Troca de E-mail,Lucas,Aberto,19:55,19:57,2.0,2026-02-28 18:23:00,2026-02-28 19:57:00,134.0,,132.0,,,
#1067608,2026-03-02,Erro KYC,Lucas,Aberto,19:59,20:00,1.0,2026-02-28 17:33:00,2026-02-28 20:00:00,227.0,,226.0,,,
#1067554,2026-03-02,Troca de E-mail,Lucas,Aberto,20:04,20:07,3.0,2026-02-28 17:31:00,2026-02-28 20:07:00,236.0,,233.0,,,
#1067530,2026-03-02,Troca de E-mail,Lucas,Aberto,20:09,20:11,2.0,2026-02-28 17:18:00,2026-02-28 20:11:00,253.0,,251.0,,,
#1067493,2026-03-02,Troca de E-mail,Lucas,Aberto,20:14,20:17,3.0,2026-02-28 16:56:00,2026-02-28 20:17:00,321.0,,318.0,,,
#1067603,2026-03-02,Cashback,Lucas,Aberto,20:22,20:26,4.0,2026-02-28 17:29:00,2026-02-28 20:26:00,257.0,,253.0,,,
#1067488,2026-03-02,Cashback,Lucas,Aberto,20:40,20:47,7.0,2026-02-28 16:27:00,2026-02-28 20:47:00,420.0,,413.0,,,
#1067801,2026-03-02,MED,Lucas,Aberto,20:48,20:50,2.0,2026-02-28 19:52:00,2026-02-28 20:50:00,58.0,,56.0,,,
#1067471,2026-03-02,Cashback,Lucas,Aberto,21:06,21:07,1.0,2026-02-28 16:21:00,2026-02-28 21:07:00,446.0,,445.0,,,
#1067459,2026-03-02,Cashback,Lucas,Aberto,21:10,21:12,2.0,2026-02-28 16:16:00,2026-02-28 21:12:00,456.0,,454.0,,,
#1019971,2026-02-02,Indique e ganhe,Lucas,Aberto,21:21,21:33,12.0,2026-02-28 23:21:00,2026-02-28 21:33:00,,,,,,
#1068056,2026-03-02,KYC/Reembolso,Lucas,Aberto,21:35,21:38,3.0,2026-02-28 21:12:00,2026-02-28 21:38:00,26.0,,23.0,,,
#1068210,2026-03-02,KYC/Reembolso,Lucas,Aberto,22:15,22:18,3.0,2026-02-28 22:08:00,2026-02-28 22:18:00,10.0,,7.0,,,
,,,,,,,,,,0.0,,0.0,,,
#1068008,2026-04-02,Cashback,Bárbara,Aberto,01:34,01:35,1.0,2026-02-28 23:37:00,2026-02-28 02:08:00,229.0,,150.0,,,
#1068328,2026-04-02,Troca de E-mail,Bárbara,Aberto,01:41,01:44,3.0,2026-02-28 23:22:00,2026-02-28 01:44:00,119.0,,,,,
#1068766,2026-04-02,KYC/Reembolso,Bárbara,Aberto,01:47,01:51,4.0,2026-02-28 01:19:00,2026-02-28 01:52:00,33.0,,28.0,,,
#1069202,2026-04-02,Cashback,Bárbara,Aberto,03:09,03:10,1.0,2026-02-28 01:43:00,2026-02-28 03:10:00,127.0,,126.0,,,
#1069244,2026-04-02,Bloqueio/Fraude,Bárbara,Aberto,02:19,02:21,2.0,2026-02-28 01:45:00,2026-02-28 02:21:00,36.0,,34.0,,,
#1069502,2026-04-02,KYC/Reembolso,Bárbara,Aberto,04:54,04:58,4.0,2026-02-28 04:33:00,2026-02-28 05:00:00,27.0,,21.0,,,
#1069534,2026-04-02,Erro Plataforma,Bárbara,Aberto,05:50,05:52,2.0,2026-02-28 05:38:00,2026-02-28 05:52:00,14.0,,12.0,,,
#1069579,2026-04-02,KYC/Reembolso,Bárbara,Aberto,06:44,06:47,3.0,2026-02-28 06:38:00,2026-02-28 06:47:00,9.0,,6.0,,,
,,,,,,,,,,0.0,,0.0,,,
#1073595,2026-05-02,Cashback,Bárbara,Aberto,19:28,19:29,1.0,2026-02-28 12:42:00,2026-02-28 19:36:00,654.0,,646.0,,,
#1074445,2026-05-02,Cashback,Bárbara,Aberto,19:31,19:32,1.0,2026-02-28 17:35:00,2026-02-28 19:40:00,205.0,,156.0,,,
#1074587,2026-05-02,Troca de E-mail,Bárbara,Aberto,19:35,19:40,5.0,2026-02-28 18:44:00,2026-02-28 19:40:00,56.0,,51.0,,,
#1074497,2026-05-02,Indique e ganhe,Bárbara,Aberto,19:56,20:00,4.0,2026-02-28 18:31:00,2026-02-28 21:37:00,306.0,,125.0,,,
#1074914,2026-05-02,"Financeiro (Depósito, saque e Devolução)",Bárbara,Aberto,21:38,21:41,3.0,2026-02-28 20:57:00,2026-02-28 21:41:00,44.0,,41.0,,,
#1074939,2026-05-02,Troca de E-mail,Bárbara,Aberto,21:43,21:46,3.0,2026-02-28 21:04:00,2026-02-28 21:46:00,42.0,,39.0,,,
#1075007,2026-05-02,KYC/Reembolso,Bárbara,Aberto,21:48,21:52,4.0,2026-02-28 21:31:00,2026-02-28 21:52:00,21.0,,17.0,,,
#1075088,2026-05-02,KYC/Reembolso,Bárbara,Aberto,22:02,22:05,3.0,2026-02-28 22:00:00,2026-02-28 22:05:00,5.0,,2.0,,,
#1075051,2026-05-02,Indique e ganhe,Bárbara,Aberto,22:07,22:30,23.0,2026-02-28 21:40:00,2026-02-28 22:30:00,50.0,,27.0,,,
#1074947,2026-05-02,"Financeiro (Depósito, saque e Devolução)",Bárbara,Aberto,22:33,22:35,2.0,2026-02-28 20:53:00,2026-02-28 22:35:00,142.0,,140.0,,,
#1075148,2026-05-02,Troca de E-mail,Bárbara,Aberto,22:54,23:02,8.0,2026-02-28 22:32:00,2026-02-28 23:02:00,30.0,,22.0,,,
#1075124,2026-05-02,Erro Plataforma,Bárbara,Aberto,23:03,23:04,1.0,2026-02-28 22:10:00,2026-02-28 23:04:00,54.0,,53.0,,,
#1074895,2026-05-02,"Financeiro (Depósito, saque e Devolução)",Bárbara,Aberto,23:04,23:07,3.0,2026-02-28 20:44:00,2026-02-28 23:06:00,222.0,,220.0,,,
#1075295,2026-05-02,"Financeiro (Depósito, saque e Devolução)",Bárbara,Aberto,00:25,00:27,2.0,2026-02-28 23:46:00,2026-02-28 00:27:00,41.0,,119.0,,,
,,,,,,,,,,,,,,,
#1075077,2026-06-02,Campanhas/CRM,Lucas,Aberto,01:18,01:19,1.0,2026-02-28 22:04:00,2026-02-28 01:19:00,315.0,,314.0,,,
#1075416,2026-06-02,KYC/Reembolso,Lucas,Aberto,01:29,01:31,2.0,2026-02-28 01:17:00,2026-02-28 02:48:00,131.0,,12.0,,,
#1074136,2026-06-02,Cashback,Lucas,Aberto,01:42,02:05,23.0,2026-02-28 15:37:00,2026-02-28 02:04:00,1000.0,,1005.0,,,
#1075787,2026-06-02,Cashback,Lucas,Aberto,02:10,02:12,2.0,2026-02-28 01:59:00,2026-02-28 02:11:00,12.0,,11.0,,,
#1074110,2026-06-02,Aposta esportiva,Lucas,Aberto,02:23,02:42,19.0,2026-02-28 15:35:00,2026-02-28 02:42:00,1242.0,,219.0,,,
#1076044,2026-06-02,KYC/Reembolso,Lucas,Aberto,02:51,02:55,4.0,2026-02-28 02:47:00,2026-02-28 03:00:00,13.0,,4.0,,,
#1075560,2026-06-02,Aposta esportiva,Lucas,Aberto,03:37,04:58,0.0,2026-02-28 03:06:00,2026-02-28 05:00:00,154.0,,31.0,,,
#1075396,2026-06-02,Missão,Lucas,Aberto,03:49,03:52,3.0,2026-02-28 03:37:00,2026-02-28 03:52:00,15.0,,12.0,,,
#1076153,2026-06-02,KYC/Reembolso,Lucas,Aberto,03:54,03:55,1.0,2026-02-28 03:26:00,2026-02-28 03:55:00,29.0,,28.0,,,
#1076262,2026-06-02,"Financeiro (Depósito, saque e Devolução)",Lucas,Aberto,06:15,06:21,6.0,2026-02-28 06:04:00,2026-02-28 06:21:00,17.0,,11.0,,,
#1076260,2026-06-02,Cashback,Lucas,Aberto,06:23,06:33,10.0,2026-02-28 06:16:00,2026-02-28 06:33:00,17.0,,7.0,,,
#1076273,2026-06-02,Cashback,Lucas,Aberto,06:41,06:42,1.0,2026-02-28 06:29:00,2026-02-28 06:42:00,13.0,,12.0,,,
#1076265,2026-06-02,Cashback,Lucas,Aberto,06:49,06:50,1.0,2026-02-28 06:25:00,2026-02-28 06:50:00,25.0,,24.0,,,
,,,,,,,,,,0.0,,0.0,,,
#1082112,2026-07-02,"Financeiro (Depósito, saque e Devolução)",Lucas,Aberto,20:19,20:30,11.0,2026-02-28 19:52:00,2026-02-28 20:31:00,39.0,,27.0,,,
#1082844,2026-07-02,KYC/Reembolso,Lucas,Aberto,22:22,22:25,3.0,2026-02-28 22:21:00,2026-02-28 22:26:00,5.0,,1.0,,,
#1082968,2026-07-02,"Financeiro (Depósito, saque e Devolução)",Bárbara,Aberto,00:37,00:40,3.0,2026-02-28 22:57:00,2026-02-28 00:41:00,117.0,,220.0,,,
#1083212,2026-08-02,Erro Plataforma,Bárbara,Aberto,01:14,01:21,7.0,2026-02-28 00:27:00,2026-02-28 08:45:00,818.0,,47.0,,,
#1083386,2026-08-02,KYC/Reembolso,Bárbara,Aberto,01:24,01:28,4.0,2026-02-28 00:43:00,2026-02-28 01:34:00,51.0,,41.0,,,
#1082911,2026-08-02,"Financeiro (Depósito, saque e Devolução)",Bárbara,Aberto,01:29,01:32,3.0,2026-02-28 22:40:00,2026-02-28 01:37:00,334.0,,311.0,,,
#1083548,2026-08-02,Troca de E-mail,Bárbara,Aberto,01:39,01:46,7.0,2026-02-28 01:37:00,2026-02-28 03:17:00,140.0,,2.0,,,
#1083005,2026-08-02,Cashback,Bárbara,Aberto,01:47,02:08,21.0,2026-02-28 23:16:00,2026-02-28 02:08:00,256.0,,208.0,,,
#1083640,2026-08-02,KYC/Reembolso,Bárbara,Aberto,02:10,02:13,53.0,2026-02-28 01:53:00,2026-02-28 02:13:00,20.0,,17.0,,,
#1083646,2026-08-02,"Financeiro (Depósito, saque e Devolução)",Bárbara,Aberto,03:00,03:03,13.0,2026-02-28 02:09:00,2026-02-28 03:03:00,54.0,,51.0,,,
#1083698,2026-08-02,Erro KYC,Bárbara,Aberto,03:03,03:13,10.0,2026-02-28 02:29:00,2026-02-28 03:04:00,35.0,,34.0,,,
#1082934,2026-08-02,Indique e ganhe,Bárbara,Aberto,03:23,03:25,2.0,2026-02-28 01:33:00,2026-02-28 02:24:00,51.0,,150.0,,,
#1083237,2026-08-02,KYC/Reembolso,Bárbara,Aberto,03:26,03:31,5.0,2026-02-28 02:40:00,2026-02-28 03:31:00,51.0,,46.0,,,
#1083745,2026-08-02,KYC/Reembolso,Bárbara,Aberto,03:32,03:35,3.0,2026-02-28 02:54:00,2026-02-28 03:35:00,41.0,,38.0,,,
