ticket_id,data,motivo,responsável,status,hora_início,hora_fim,tempo_de_conclusão_(tma),created_at,resolved_at,sla,dias_sla,sla_tempofila,op_abertas,unnamed:_14,unnamed:_15,unnamed:_16,unnamed:_17,unnamed:_18,unnamed:_19,unnamed:_20,unnamed:_21,unnamed:_22,unnamed:_23,unnamed:_24,unnamed:_25,unnamed:_26,unnamed:_27,unnamed:_28,unnamed:_29,unnamed:_30,unnamed:_31,unnamed:_32,unnamed:_33,unnamed:_34,unnamed:_35,unnamed:_36,unnamed:_37,unnamed:_38,unnamed:_39,unnamed:_40,unnamed:_41,unnamed:_42
#1062259,2/1/2026,Aposta esportiva,Lucas,Aberto,20:56,21:09,13.0,2026-02-28 20:45:00,2026-02-28 21:10:00,00:25,,00:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aberto,,KYC/Reembolso
#1062473,2/1/2026,Erro KYC,Lucas,Aberto,21:20,21:22,2.0,2026-02-28 20:46:00,2026-02-28 21:22:00,00:36,,00:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#1062597,2/1/2026,"Financeiro (Depósito, saque e Devolução)",Bárbara,Aberto,22:09,22:15,6.0,2026-02-28 21:55:00,2026-02-28 22:15:00,00:20,,00:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pendente,,Campanhas/CRM
#1062500,2/1/2026,Aposta esportiva,Bárbara,Aberto,22:16,22:18,2.0,2026-02-28 21:34:00,2026-02-28 22:18:00,00:44,,00:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Missão
#1062564,2/1/2026,Erro KYC,Bárbara,Aberto,22:19,22:22,3.0,2026-02-28 22:19:00,2026-02-28 22:22:00,00:03,,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,Resolvido,,Erro Plataforma
#1062447,2/1/2026,Indique e ganhe,Lucas,Aberto,23:11,23:14,3.0,2026-02-28 22:49:00,2026-02-28 23:13:00,00:24,,00:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,Em espera,,Giros
,,,,,,,,,,,,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MED
#1062693,2/2/2026,Aposta esportiva,Bárbara,Aberto,00:13,00:28,15.0,2026-02-28 23:14:00,2026-02-28 00:28:00,01:04,,01:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indique e ganhe
#1062688,2/2/2026,Aposta esportiva,Bárbara,Aberto,01:04,01:05,1.0,2026-02-28 01:04:00,2026-02-28 01:05:00,00:01,,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PVE
#1062745,2/2/2026,Aposta esportiva,Lucas,Aberto,01:26,01:28,2.0,2026-02-28 00:09:00,2026-02-28 01:28:00,01:19,,01:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Erro KYC
#1062758,2/2/2026,Aposta esportiva,Lucas,Aberto,01:44,01:46,2.0,2026-02-28 00:27:00,2026-02-28 01:46:00,01:19,,01:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Auto Exclusão
#1062972,2/2/2026,Missão,Lucas,Aberto,02:27,02:32,5.0,2026-02-28 02:24:00,2026-02-28 02:32:00,00:08,,00:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#1063000,2/2/2026,KYC/Reembolso,Lucas,Aberto,02:50,03:20,30.0,2026-02-28 02:37:00,2026-02-28 03:28:00,00:51,,00:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#1062697,2/2/2026,Aposta esportiva,Lucas,Aberto,03:05,05:51,0.0,2026-02-28 23:45:00,2026-02-28 10:57:00,10:13,1/1/2025,11:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#1062924,2/2/2026,Cashback,Lucas,Aberto,03:15,03:18,3.0,2026-02-28 02:25:00,2026-02-28 03:18:00,00:53,,00:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#1063039,2/2/2026,KYC/Reembolso,Lucas,Aberto,03:29,03:31,2.0,2026-02-28 03:17:00,2026-02-28 03:31:00,00:14,,00:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cashback
#1063042,2/2/2026,Missão,Lucas,Aberto,03:36,03:37,1.0,2026-02-28 03:28:00,2026-02-28 03:37:00,00:09,,00:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cassino
#1063044,2/2/2026,Troca de E-mail,Lucas,Aberto,03:51,03:53,2.0,2026-02-28 03:26:00,2026-02-28 03:53:00,00:27,,00:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Financeiro (Depósito, saque e Devolução)"
#1063061,2/2/2026,KYC/Reembolso,Lucas,Aberto,04:13,04:14,1.0,2026-02-28 04:05:00,2026-02-28 04:14:00,00:09,,00:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reembolso
#1063080,2/2/2026,Troca de E-mail,Lucas,Aberto,04:52,05:03,11.0,2026-02-28 04:51:00,2026-02-28 05:03:00,00:12,,00:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bloqueio/Ludopatia
#1062928,2/2/2026,Giros,Lucas,Aberto,05:11,05:12,1.0,2026-02-28 04:24:00,2026-02-28 05:12:00,00:48,,00:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bloqueio/Fraude
#1063084,2/2/2026,Giros,Lucas,Aberto,05:15,05:17,2.0,2026-02-28 04:57:00,2026-02-28 05:17:00,00:20,,00:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aposta esportiva
#1063077,2/2/2026,Erro KYC,Lucas,Aberto,05:23,05:25,2.0,2026-02-28 05:14:00,2026-02-28 05:25:00,00:11,,00:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bloqueio/Fraude/Kyc
