categoria_2,data_iso,ticket_id,motivo,responsavel,status,status_2,inicio_dt,fim_dt,tempo_min
KYC/Reembolso,2026-01-01,930269,KYC/Reembolso,Lucas,Em espera,Aberto,2026-01-01 06:02:00,2026-01-01 06:06:00,4.0
Campanhas/CRM,2026-01-02,937163,Bloqueio/Fraude/Kyc,Lucas,Aberto,Pendente,2026-01-02 21:23:00,2026-01-02 22:17:00,54.0
Missão,2026-01-02,937180,Bloqueio/Fraude/Kyc,Lucas,Aberto,,2026-01-02 22:19:00,2026-01-02 22:22:00,3.0
Erro Plataforma,2026-01-02,937412,Bloqueio/Fraude/Kyc,Lucas,Aberto,Resolvido,2026-01-02 22:46:00,2026-01-02 22:48:00,2.0
Giros,2026-01-02,937331,"Financeiro (Depósito, saque e Devolução)",Lucas,Aberto,Em espera,2026-01-02 22:51:00,2026-01-02 22:54:00,3.0
PVE,2026-01-03,937674,Giros,Bárbara,Em espera,,2026-01-03 01:42:00,2026-01-03 01:43:00,1.0
Erro KYC,2026-01-03,937685,Giros,Bárbara,Em espera,,2026-01-03 01:52:00,2026-01-03 01:53:00,1.0
Auto Exclusão,2026-01-03,937770,Giros,Bárbara,Em espera,,2026-01-03 02:00:00,2026-01-03 02:01:00,1.0
,2026-01-03,937787,Indique e ganhe,Bárbara,Aberto,,2026-01-03 02:14:00,2026-01-03 02:23:00,9.0
,2026-01-03,938252,Bloqueio/Fraude/Kyc,Bárbara,Aberto,,2026-01-03 02:32:00,2026-01-03 02:41:00,9.0
,2026-01-03,937958,Bloqueio/Fraude,Bárbara,Aberto,,2026-01-03 02:50:00,2026-01-03 02:52:00,2.0
,2026-01-03,937696,KYC/Reembolso,Bárbara,Aberto,,2026-01-03 02:48:00,2026-01-03 02:54:00,6.0
Cashback,2026-01-03,938342,"Financeiro (Depósito, saque e Devolução)",Bárbara,Aberto,,2026-01-03 03:07:00,2026-01-03 03:10:00,3.0
Cassino,2026-01-03,938403,Cassino,Bárbara,Aberto,,2026-01-03 04:42:00,2026-01-03 04:47:00,5.0
"Financeiro (Depósito, saque e Devolução)",2026-01-03,938548,Giros,Bárbara,Em espera,,2026-01-03 05:25:00,2026-01-03 05:26:00,1.0
Reembolso,2026-01-03,938556,Bloqueio/Fraude/Kyc,Bárbara,Aberto,,2026-01-03 05:28:00,2026-01-03 05:32:00,4.0
Bloqueio/Ludopatia,2026-01-03,938552,Giros,Bárbara,Em espera,,2026-01-03 05:37:00,2026-01-03 05:38:00,1.0
Bloqueio/Fraude,2026-01-03,929178,Giros,Bárbara,Aberto,,2026-01-03 05:40:00,2026-01-03 05:42:00,2.0
Aposta esportiva,2026-01-03,938614,Giros,Bárbara,Aberto,,2026-01-03 06:17:00,2026-01-03 06:19:00,2.0
Bloqueio/Fraude/Kyc,2026-01-03,938613,Campanhas/CRM,Bárbara,Aberto,,2026-01-03 06:20:00,2026-01-03 06:36:00,16.0
Troca de E-mail,2026-01-03,938654,Giros,Bárbara,Em espera,,,,
,2026-01-04,943603,Aposta esportiva,Bárbara,Aberto,,2026-01-04 20:07:00,2026-01-04 20:10:00,3.0
