ticket_id,Data_iso,Motivo,Responsável,Status,inicio_dt,fim_dt,tempo_min,Status 2,Categoria 2
#930269,2026-01-01,KYC/Reembolso,Lucas,Em espera,2026-01-01 06:02:00,2026-01-01 06:06:00,4.0,Aberto,KYC/Reembolso
#937163,2026-02-01,Bloqueio/Fraude/Kyc,Lucas,Aberto,2026-02-01 22:19:00,2026-02-01 22:22:00,54.0,Pendente,Campanhas/CRM
#937180,2026-02-01,Bloqueio/Fraude/Kyc,Lucas,Aberto,2026-02-01 22:46:00,2026-02-01 22:48:00,3.0,,Missão
#937412,2026-02-01,Bloqueio/Fraude/Kyc,Lucas,Aberto,2026-02-01 22:51:00,2026-02-01 22:54:00,2.0,Resolvido,Erro Plataforma
#937331,2026-02-01,"Financeiro (Depósito, saque e Devolução)",Lucas,Aberto,,,3.0,Em espera,Giros
,,,,,2026-03-01 01:42:00,2026-03-01 01:43:00,,,Indique e ganhe
#937674,2026-03-01,Giros,Bárbara,Em espera,2026-03-01 01:52:00,2026-03-01 01:53:00,1.0,,PVE
#937685,2026-03-01,Giros,Bárbara,Em espera,2026-03-01 02:00:00,2026-03-01 02:01:00,1.0,,Erro KYC
#937770,2026-03-01,Giros,Bárbara,Em espera,2026-03-01 02:14:00,2026-03-01 02:23:00,1.0,,Auto Exclusão
#937787,2026-03-01,Indique e ganhe,Bárbara,Aberto,2026-03-01 02:32:00,2026-03-01 02:41:00,9.0,,
#938252,2026-03-01,Bloqueio/Fraude/Kyc,Bárbara,Aberto,2026-03-01 02:50:00,2026-03-01 02:52:00,9.0,,
#937958,2026-03-01,Bloqueio/Fraude,Bárbara,Aberto,2026-03-01 02:48:00,2026-03-01 02:54:00,2.0,,
#937696,2026-03-01,KYC/Reembolso,Bárbara,Aberto,2026-03-01 03:07:00,2026-03-01 03:10:00,6.0,,
#938342,2026-03-01,"Financeiro (Depósito, saque e Devolução)",Bárbara,Aberto,2026-03-01 04:42:00,2026-03-01 04:47:00,3.0,,Cashback
#938403,2026-03-01,Cassino,Bárbara,Aberto,2026-03-01 05:25:00,2026-03-01 05:26:00,5.0,,Cassino
#938548,2026-03-01,Giros,Bárbara,Em espera,2026-03-01 05:28:00,2026-03-01 05:32:00,1.0,,"Financeiro (Depósito, saque e Devolução)"
#938556,2026-03-01,Bloqueio/Fraude/Kyc,Bárbara,Aberto,2026-03-01 05:37:00,2026-03-01 05:38:00,4.0,,Reembolso
#938552,2026-03-01,Giros,Bárbara,Em espera,2026-03-01 05:40:00,2026-03-01 05:42:00,1.0,,Bloqueio/Ludopatia
#929178,2026-03-01,Giros,Bárbara,Aberto,2026-03-01 06:17:00,2026-03-01 06:19:00,2.0,,Bloqueio/Fraude
#938614,2026-03-01,Giros,Bárbara,Aberto,2026-03-01 06:20:00,2026-03-01 06:36:00,2.0,,Aposta esportiva
#938613,2026-03-01,Campanhas/CRM,Bárbara,Aberto,,,16.0,,Bloqueio/Fraude/Kyc
#938654,2026-03-01,Giros,Bárbara,Em espera,,,,,Troca de E-mail
,,,,,2026-04-01 20:07:00,2026-04-01 20:10:00,,,Outros
#943603,2026-04-01,Aposta esportiva,Bárbara,Aberto,2026-04-01 20:12:00,2026-04-01 20:17:00,3.0,,
#943767,2026-04-01,Troca de E-mail,Bárbara,Aberto,2026-04-01 21:36:00,2026-04-01 21:50:00,5.0,,
#944004,2026-04-01,"Financeiro (Depósito, saque e Devolução)",Bárbara,Aberto,2026-04-01 22:38:00,2026-04-01 22:40:00,,,
#944017,2026-04-01,"Financeiro (Depósito, saque e Devolução)",Bárbara,Aberto,2026-05-01 00:19:00,2026-05-01 00:27:00,2.0,,
#944295,2026-05-01,Troca de E-mail,Bárbara,Aberto,2026-05-01 01:10:00,,8.0,,
#944256,2026-05-01,"Financeiro (Depósito, saque e Devolução)",Bárbara,Aberto,2026-05-01 01:24:00,2026-05-01 01:30:00,6.0,,
#944120,2026-05-01,Giros,Lucas,Aberto,2026-05-01 02:06:00,2026-05-01 02:11:00,,,
#944171,2026-05-01,Cashback,Lucas,Aberto,2026-05-01 02:12:00,2026-05-01 02:16:00,6.0,,
#944336,2026-05-01,Cashback,Lucas,Aberto,2026-05-01 02:48:00,2026-05-01 03:03:00,2.0,,
#944387,2026-05-01,KYC/Reembolso,Lucas,Aberto,2026-05-01 03:08:00,,5.0,,
#944471,2026-05-01,KYC/Reembolso,Lucas,Aberto,2026-05-01 04:07:00,2026-05-01 04:09:00,4.0,,
#944669,2026-05-01,KYC/Reembolso,Lucas,Aberto,2026-05-01 05:07:00,2026-05-01 05:15:00,,,
#944268,2026-05-01,Missão,Lucas,Aberto,2026-05-01 06:05:00,2026-05-01 06:07:00,,,
#944603,2026-05-01,Missão,Lucas,Aberto,2026-05-01 06:10:00,,2.0,,
#944746,2026-05-01,Campanhas/CRM,Lucas,Aberto,2026-05-01 06:12:00,,,,
#944761,2026-05-01,Campanhas/CRM,Lucas,Aberto,2026-06-01 19:41:00,2026-06-01 19:48:00,2.0,,
#944762,2026-05-01,Campanhas/CRM,Lucas,Aberto,2026-06-01 19:54:00,2026-06-01 19:56:00,,,
#944770,2026-05-01,KYC/Reembolso,Lucas,Aberto,2026-06-01 20:47:00,2026-06-01 20:53:00,,,
#950070,2026-06-01,KYC/Reembolso,Lucas,Aberto,2026-06-01 21:01:00,2026-06-01 21:31:00,7.0,,
#950085,2026-06-01,Indique e ganhe,Lucas,Aberto,2026-06-01 21:32:00,2026-06-01 21:54:00,2.0,,
#950173,2026-06-01,Giros,Lucas,Aberto,2026-06-01 21:40:00,2026-06-01 21:45:00,,,
#950289,2026-06-01,Bloqueio/Fraude,Lucas,Aberto,2026-06-01 22:01:00,2026-06-01 22:09:00,1.0,,
#950526,2026-06-01,KYC/Reembolso,Lucas,Aberto,2026-06-01 22:11:00,2026-06-01 22:21:00,30.0,,
#950387,2026-06-01,KYC/Reembolso,Lucas,Aberto,2026-06-01 22:28:00,2026-06-01 22:35:00,22.0,,
#950533,2026-06-01,KYC/Reembolso,Lucas,Aberto,2026-06-01 22:38:00,2026-06-01 22:52:00,5.0,,
#950747,2026-06-01,KYC/Reembolso,Lucas,Aberto,2026-07-01 02:03:00,2026-07-01 02:32:00,8.0,,
#950707,2026-06-01,KYC/Reembolso,Lucas,Aberto,2026-07-01 02:35:00,2026-07-01 02:39:00,10.0,,
#950653,2026-06-01,KYC/Reembolso,Lucas,Aberto,2026-07-01 02:42:00,2026-07-01 02:46:00,7.0,,
#949995,2026-06-01,Giros,Lucas,Aberto,2026-07-01 02:53:00,2026-07-01 03:01:00,14.0,,
#951101,2026-07-01,Giros,Bárbara,Aberto,2026-07-01 03:06:00,2026-07-01 03:10:00,29.0,,
#951203,2026-07-01,KYC/Reembolso,Bárbara,Aberto,2026-07-01 03:07:00,2026-07-01 03:08:00,4.0,,
#951122,2026-07-01,KYC/Reembolso,Bárbara,Aberto,2026-07-01 03:14:00,2026-07-01 03:17:00,4.0,,
#951267,2026-07-01,Giros,Bárbara,Aberto,2026-07-01 03:15:00,2026-07-01 03:16:00,8.0,,
#951275,2026-07-01,Giros,Bárbara,Aberto,2026-07-01 04:34:00,2026-07-01 04:36:00,2.0,,
#952012,2026-07-01,KYC/Reembolso,Bárbara,Aberto,2026-07-01 05:52:00,2026-07-01 06:02:00,4.0,,
#951677,2026-07-01,KYC/Reembolso,Lucas,Aberto,2026-07-01 06:52:00,2026-07-01 06:54:00,1.0,,
#950447,2026-07-01,Cassino,Lucas,Aberto,2026-07-01 06:23:00,2026-07-01 06:26:00,3.0,,
#951968,2026-07-01,KYC/Reembolso,Bárbara,Em espera,2026-08-01 19:38:00,2026-08-01 19:44:00,1.0,,
#952194,2026-07-01,Giros,Lucas,Aberto,2026-09-01 02:26:00,2026-09-01 03:11:00,2.0,,
#952160,2026-07-01,Giros,Bárbara,Aberto,2026-09-01 02:45:00,2026-09-01 02:46:00,,,
#952242,2026-07-01,Aposta esportiva,Bárbara,Aberto,2026-09-01 02:46:00,2026-09-01 02:47:00,2.0,,
#952292,2026-07-01,Giros,Bárbara,Aberto,2026-09-01 02:25:00,2026-09-01 02:49:00,3.0,,
#961993,2026-08-01,KYC/Reembolso,Bárbara,Aberto,2026-09-01 03:07:00,2026-09-01 03:22:00,6.0,,
#963654,2026-09-01,"Financeiro (Depósito, saque e Devolução)",Lucas,Aberto,2026-09-01 03:24:00,2026-09-01 03:51:00,45.0,,
#963626,2026-09-01,Bloqueio/Fraude,Bárbara,Em espera,2026-09-01 03:36:00,2026-09-01 03:45:00,1.0,,
#963500,2026-09-01,Bloqueio/Fraude,Bárbara,Em espera,2026-09-01 04:13:00,2026-09-01 05:50:00,1.0,,
#962630,2026-09-01,KYC/Reembolso,Bárbara,Aberto,2026-09-01 03:57:00,2026-09-01 04:07:00,24.0,,
#962678,2026-09-01,KYC/Reembolso,Bárbara,Aberto,2026-09-01 04:22:00,2026-09-01 04:26:00,2.0,,
#962578,2026-09-01,KYC/Reembolso,Lucas,Aberto,2026-09-01 04:29:00,2026-09-01 04:39:00,15.0,,
#962483,2026-09-01,KYC/Reembolso,Lucas,Aberto,2026-09-01 04:42:00,2026-09-01 04:44:00,3.0,,
